datayear,oshpd_id2,COUNTY_NAME,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,LICENSE_CATEGORY_DESC,Control_Type_Desc,TRAUMA_CENTER_DESC,ER_SERVICE_LEVEL_DESC,RURAL_HOSPITAL_DESC,TEACHING_HOSPITAL_DESC,LICENSED_BED_SIZE,MSSA_DESIGNATION,Sex_Male,Sex_Female,Sex_Unk,Age_01_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Under_1,Age_Unknown,Asian_Pacific_Island,Black,Hispanic,Native_American_Eski,Other_Race,Unknown_Race,White,Acute_Care,Against_Medical_Advice,Died,Hospice_Care,Home_Health_Service,Residential_Care,Routine,Psychiatric_Care,SN_IC_Care,Medi_Cal,Medicare,Other_Payer,Private_Coverage,SelfPay,ED_Visit,All_Other,English,Spanish
2015,106010735,ALAMEDA,2070 CLINTON,ALAMEDA,94501,General Acute Care Hospital,Public - City or County,,Emergency - Basic,,,Beds 200-299,Urban,6889.0,8722.0,,774.0,1174.0,2774.0,2772.0,2312.0,2259.0,1659.0,884.0,943.0,60.0,,1562.0,3206.0,1268.0,14.0,3314.0,250.0,5997.0,280.0,426.0,28.0,,,,14342.0,202.0,165.0,760.0,2926.0,5456.0,4069.0,2400.0,15611.0,685.0,14351.0,575.0
2015,106010739,ALAMEDA,2450 ASHBY STREET,BERKELEY,94705,General Acute Care Hospital,Nonprofit - Corporation,,Emergency - Basic,,,Beds 300-499,Urban,17196.0,23230.0,4.0,682.0,2205.0,8769.0,6910.0,5524.0,5924.0,4778.0,2828.0,2606.0,204.0,,3440.0,13624.0,5553.0,76.0,2231.0,447.0,15059.0,248.0,337.0,35.0,20.0,120.0,7.0,37587.0,1334.0,235.0,14558.0,9123.0,739.0,12537.0,3412.0,40430.0,1131.0,37704.0,1595.0
2015,106010776,ALAMEDA,747 52ND STREET,OAKLAND,94609,General Acute Care Hospital,Nonprofit - Corporation,Level I - Pediatric,Emergency - Basic,,,Beds 150-199,Urban,21248.0,18362.0,,23968.0,9563.0,315.0,69.0,57.0,28.0,15.0,6.0,,5589.0,,2756.0,10033.0,18049.0,28.0,5227.0,183.0,3334.0,235.0,44.0,5.0,,30.0,,39018.0,,6.0,30876.0,24.0,533.0,5579.0,2596.0,39610.0,1385.0,27828.0,10397.0
2015,106010846,ALAMEDA,1411 EAST 31ST STREET,OAKLAND,94602,General Acute Care Hospital,Public - City or County,Level II,Emergency - Basic,,Teaching,Beds 200-299,Urban,35104.0,30651.0,2.0,861.0,2810.0,13871.0,13787.0,12082.0,12712.0,7118.0,1611.0,716.0,189.0,,5762.0,28234.0,21463.0,261.0,1793.0,400.0,7844.0,110.0,570.0,155.0,14.0,3.0,95.0,63263.0,26.0,139.0,41892.0,6148.0,1059.0,2021.0,14128.0,65757.0,4786.0,47250.0,13721.0
2015,106010937,ALAMEDA,350 HAWTHORNE AVENUE,OAKLAND,94609,General Acute Care Hospital,Nonprofit - Corporation,,Emergency - Basic,,,Beds 300-499,Urban,16099.0,21836.0,1.0,286.0,1226.0,6762.0,6313.0,5573.0,6668.0,5290.0,2818.0,2946.0,54.0,,4004.0,20854.0,3646.0,57.0,1451.0,237.0,7687.0,373.0,405.0,82.0,31.0,311.0,4.0,35061.0,745.0,436.0,17239.0,10006.0,550.0,6930.0,3174.0,37936.0,2461.0,34392.0,1083.0
2015,106010967,ALAMEDA,27200 CALAROGA AVENUE,HAYWARD,94545,General Acute Care Hospital,Nonprofit - Corporation,,Emergency - Basic,,,Beds 200-299,Urban,14681.0,18395.0,,4042.0,3198.0,6023.0,5392.0,4422.0,4182.0,2724.0,1275.0,1045.0,773.0,,4935.0,6000.0,13575.0,43.0,1818.0,25.0,6680.0,311.0,755.0,94.0,10.0,,1.0,30867.0,667.0,18.0,19276.0,4279.0,1899.0,3749.0,3873.0,33076.0,1958.0,25505.0,5613.0
2015,106010987,ALAMEDA,2000 MOWRY AVENUE,FREMONT,94538,General Acute Care Hospital,Public - District,,Emergency - Basic,,,Beds 300-499,Urban,19589.0,23418.0,,5518.0,3965.0,6668.0,6232.0,5192.0,5426.0,3826.0,2568.0,2560.0,1052.0,,10429.0,4291.0,9733.0,66.0,7076.0,360.0,11052.0,173.0,,78.0,38.0,224.0,4.0,40892.0,744.0,443.0,18246.0,9578.0,1222.0,9945.0,3992.0,43007.0,3146.0,37778.0,2083.0
2015,106013619,ALAMEDA,13855 EAST 14TH STREET,SAN LEANDRO,94578,General Acute Care Hospital,Public - City or County,,Emergency - Basic,,,Beds 50-99,Urban,13227.0,17814.0,4.0,1401.0,2247.0,6986.0,5560.0,4559.0,5281.0,2796.0,1094.0,948.0,173.0,,2288.0,16236.0,6842.0,158.0,613.0,64.0,4844.0,97.0,683.0,15.0,6.0,43.0,,28899.0,757.0,62.0,3141.0,4960.0,16738.0,3428.0,2778.0,31045.0,845.0,28182.0,2018.0
2015,106014050,ALAMEDA,5555 WEST LAS POSITAS BLVD.,PLEASANTON,94588,General Acute Care Hospital,Nonprofit - Corporation,,Emergency - Basic,,,Beds 150-199,Urban,12390.0,13944.0,,3085.0,2865.0,4029.0,3790.0,3472.0,3335.0,2119.0,1491.0,1530.0,618.0,,3485.0,1757.0,4348.0,14700.0,1943.0,92.0,9.0,518.0,167.0,65.0,1.0,1.0,9.0,24621.0,587.0,26.0,7319.0,4320.0,2099.0,10231.0,2364.0,26334.0,573.0,24302.0,1459.0
2015,106014132,ALAMEDA,39400 PASEO PADRE PARKWAY,FREMONT,94538,General Acute Care Hospital,Nonprofit - Corporation,,Emergency - Basic,,,Beds 100-149,Urban,16238.0,18276.0,1.0,3768.0,3452.0,4362.0,4339.0,4014.0,4166.0,3624.0,3004.0,3249.0,537.0,,9874.0,2650.0,7830.0,99.0,826.0,352.0,12884.0,331.0,358.0,60.0,52.0,389.0,3.0,32331.0,589.0,168.0,4550.0,8267.0,573.0,19461.0,1664.0,34515.0,1320.0,31760.0,1435.0
