datayear,oshpd_id2,COUNTY_NAME,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,LICENSE_CATEGORY_DESC,Control_Type_Desc,TRAUMA_CENTER_DESC,ER_SERVICE_LEVEL_DESC,RURAL_HOSPITAL_DESC,TEACHING_HOSPITAL_DESC,LICENSED_BED_SIZE,MSSA_DESIGNATION,Sex_Male,Sex_Female,Sex_Unk,Age_01_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Under_1,Age_Unknown,Asian_Pacific_Island,Black,Hispanic,Native_American_Eski,Other_Race,Unknown_Race,White,Acute_Care,Against_Medical_Advice,Died,Hospice_Care,Home_Health_Service,Residential_Care,Routine,Psychiatric_Care,SN_IC_Care,Medi_Cal,Medicare,Other_Payer,Private_Coverage,SelfPay,ED_Visit,All_Other,English,Spanish
2013,106010735,ALAMEDA,2070 CLINTON AVE,ALAMEDA,94501,General Acute Care Hospital,Public - District,,Emergency - Basic,N,N,100-149,Urban,5937,7601,,652,986,2394.0,2283.0,2025.0,2114.0,1314.0,809.0,890.0,71.0,,1450.0,2963.0,197,7.0,3041.0,166.0,5714.0,128.0,368.0,25.0,19.0,52.0,22.0,12355,198.0,220.0,373,2788,3493.0,4306.0,,13538,600.0,12671,267
2013,106010739,ALAMEDA,2450 ASHBY AVENUE,BERKELEY,94705,General Acute Care Hospital,Non-Profit - Corporation,,Emergency - Basic,N,N,300-499,Urban,15540,21425,7.0,567,2023,8555.0,6276.0,5015.0,5701.0,4214.0,2300.0,2095.0,226.0,,2543.0,13120.0,4310,63.0,2260.0,365.0,14311.0,228.0,248.0,46.0,13.0,106.0,21.0,34414,1293.0,187.0,9160,7719,1623.0,12251.0,,36972,808.0,34964,1200
2013,106010776,ALAMEDA,747 52ND STREET,OAKLAND,94609,General Acute Care Hospital,Non-Profit - Corporation,Level I - Pediatric,Emergency - Basic,N,N,150-199,Urban,20338,17871,1.0,23285,8938,264.0,86.0,65.0,34.0,14.0,3.0,,5521.0,1.0,2124.0,10786.0,15401,32.0,5972.0,877.0,3019.0,330.0,637.0,13.0,,14.0,,37087,,1.0,28805,27,527.0,5689.0,,38211,1345.0,26729,10137
2013,106010846,ALAMEDA,1411 EAST 31ST STREET,OAKLAND,94602,General Acute Care Hospital,Public - City or County,Level II,Emergency - Basic,N,Y,200-299,Urban,38448,34044,4.0,592,2490,15065.0,14247.0,14635.0,16000.0,7525.0,1288.0,534.0,120.0,,6500.0,30517.0,20719,316.0,4213.0,265.0,9966.0,2056.0,483.0,173.0,,3.0,8.0,68423,,243.0,17115,5141,39539.0,1621.0,,72496,4420.0,55464,12612
2013,106010856,ALAMEDA,280 W. MACARTHUR BOULEVARD,OAKLAND,94611,General Acute Care Hospital,Non-Profit - Corporation,,Emergency - Basic,N,Y,300-499,Urban,37742,47714,4.0,8067,7372,13600.0,11376.0,10934.0,11358.0,9231.0,5887.0,6218.0,1417.0,,7393.0,36000.0,16770,332.0,2585.0,836.0,21544.0,529.0,794.0,60.0,67.0,70.0,14.0,82295,877.0,249.0,14639,17381,2128.0,41768.0,,85460,1671.0,78438,5351
2013,106010858,ALAMEDA,27400 HESPERIAN BOULEVARD,HAYWARD,94545,General Acute Care Hospital,Non-Profit - Corporation,,Emergency - Basic,N,N,200-299,Urban,32753,39298,1.0,8556,7652,9315.0,8836.0,8658.0,8777.0,6923.0,5414.0,6511.0,1409.0,2.0,14076.0,10611.0,19408,242.0,2918.0,1204.0,23594.0,548.0,677.0,96.0,105.0,380.0,199.0,68128,921.0,672.0,8815,16295,1215.0,41315.0,,72053,2197.0,64738,5118
2013,106010937,ALAMEDA,350 HAWTHORNE AVENUE,OAKLAND,94609,General Acute Care Hospital,Non-Profit - Corporation,,Emergency - Basic,N,N,300-499,Urban,13796,19699,,218,1159,5890.0,5459.0,5233.0,6052.0,4435.0,2330.0,2685.0,34.0,,2902.0,19178.0,2704,57.0,1613.0,378.0,6663.0,299.0,295.0,69.0,45.0,161.0,10.0,31188,667.0,484.0,11052,8692,1473.0,6238.0,,33495,1856.0,30703,936
2013,106010967,ALAMEDA,27200 CALAROGA AVENUE,HAYWARD,94545,General Acute Care Hospital,Non-Profit - Corporation,,Emergency - Basic,N,N,200-299,Urban,13013,17175,1.0,3944,2985,5706.0,4820.0,3938.0,3668.0,2248.0,1225.0,898.0,757.0,,2808.0,6188.0,11995,32.0,2876.0,124.0,6166.0,222.0,708.0,87.0,4.0,3.0,3.0,28133,571.0,41.0,14135,4360,2382.0,3078.0,,30189,1909.0,22826,5454
2013,106010987,ALAMEDA,2000 MOWRY AVENUE,FREMONT,94538,General Acute Care Hospital,Public - District,,Emergency - Basic,N,N,300-499,Urban,18840,23318,,6082,4049,6043.0,5884.0,5518.0,5172.0,3182.0,2407.0,2585.0,1232.0,4.0,5621.0,4489.0,8928,44.0,8575.0,789.0,13712.0,142.0,127.0,80.0,5.0,96.0,8.0,40515,576.0,385.0,15630,8962,1631.0,9663.0,,42158,2284.0,37846,2028
2013,106013619,ALAMEDA,13855 EAST 14TH STREET,SAN LEANDRO,94578,General Acute Care Hospital,Non-Profit - Corporation,,Emergency - Basic,N,N,50-99,Urban,9523,13668,,1082,1771,5018.0,3984.0,3540.0,3701.0,2065.0,955.0,955.0,120.0,,1477.0,12365.0,4348,110.0,603.0,364.0,3924.0,212.0,528.0,24.0,5.0,10.0,,21456,703.0,99.0,1343,4358,10273.0,2733.0,,23191,486.0,21661,1044
2013,106014050,ALAMEDA,5555 WEST LAS POSITAS BLVD.,PLEASANTON,94588,General Acute Care Hospital,Nonprofit - Corporation,,Emergency - Basic,N,N,150-199,Urban,11334,13046,,2803,2537,3839.0,3539.0,3569.0,3058.0,1869.0,1336.0,1340.0,490.0,,2301.0,1672.0,3843,893.0,1700.0,170.0,13801.0,515.0,154.0,53.0,1.0,1.0,2.0,23121,510.0,20.0,4798,3935,1410.0,10990.0,,24380,599.0,22438,1343
2013,106014233,ALAMEDA,20103 LAKE CHABOT RD,CASTRO VALLEY,94546,General Acute Care Hospital,Non-Profit - Corporation,Level II,Emergency - Basic,N,N,100-149,Urban,14218,18551,,2847,2738,5813.0,5288.0,4328.0,4861.0,2725.0,1477.0,2022.0,670.0,,1999.0,6711.0,8240,71.0,1823.0,120.0,13805.0,410.0,306.0,68.0,55.0,190.0,38.0,29919,784.0,407.0,11137,6179,1739.0,7622.0,,32769,786.0,30168,1815
2013,106034002,AMADOR,200 MISSION BLVD,JACKSON,95642,General Acute Care Hospital,Non-Profit - Corporation,,Emergency - Basic,Y,N,50-99,Rural,7940,9756,,1696,1666,2519.0,2047.0,2029.0,2622.0,2007.0,1344.0,1431.0,335.0,,72.0,94.0,708,170.0,23.0,6.0,16623.0,585.0,100.0,26.0,5.0,26.0,,16787,42.0,,5849,4766,760.0,4519.0,,17696,60.0,17465,171
2013,106040802,BUTTE,240 SPRUCE STREET,GRIDLEY,95948,General Acute Care Hospital,Non-Profit - Corporation,,Emergency - Standby,Y,N,1-49,Rural,3893,5157,,1262,978,1244.0,1234.0,1087.0,1100.0,717.0,702.0,526.0,200.0,,144.0,107.0,2244,42.0,239.0,24.0,6250.0,413.0,170.0,4.0,,1.0,9.0,8353,10.0,64.0,4343,2093,30.0,1239.0,,9050,93.0,7674,1283
2013,106040875,BUTTE,5974 PENTZ ROAD,PARADISE,95969,General Acute Care Hospital,Non-Profit - Corporation,,Emergency - Basic,N,N,100-149,Rural,8722,11468,,2137,1848,2844.0,2449.0,2170.0,2940.0,1963.0,1513.0,1845.0,480.0,1.0,93.0,167.0,574,,40.0,153.0,19163.0,307.0,324.0,36.0,9.0,12.0,3.0,19073,5.0,101.0,8196,6038,372.0,3606.0,,20190,14.0,20145,31
