datayear,oshpd_id2,COUNTY_NAME,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,LICENSE_CATEGORY_DESC,Control_Type_Desc,TRAUMA_CENTER_DESC,ER_SERVICE_LEVEL_DESC,RURAL_HOSPITAL_DESC,TEACHING_HOSPITAL_DESC,LICENSED_BED_SIZE,MSSA_DESIGNATION,Sex_Male,Sex_Female,Sex_Unk,Age_01_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Under_1,Age_Unknown,Asian_Pacific_Island,Black,Hispanic,Native_American_Eski,Other_Race,Unknown_Race,White,Acute_Care,Against_Medical_Advice,Died,Hospice_Care,Home_Health_Service,Residential_Care,Routine,Psychiatric_Care,SN_IC_Care,Medi_Cal,Medicare,Other_Payer,Private_Coverage,SelfPay,ED_Visit,All_Other,English,Spanish
2006,106010735,Alameda,2070 CLINTON,ALAMEDA,94501,General Acute Care,District,,Basic,,NO,100,,6616.0,8686.0,,911.0,1385.0,2738.0,2570.0,2566.0,2123.0,1044.0,838.0,1011.0,116.0,,1425.0,2619.0,131.0,15.0,4124.0,291.0,6697.0,349.0,302.0,28.0,,1.0,,14288.0,,151.0,1301.0,2319.0,2818.0,6097.0,,15302.0,,,
2006,106010739,Alameda,2450 ASHBY STREET,BERKELEY,94705,General Acute Care,Non-Profit Corporation (incl. Church-related),,Basic,,NO,347,,14635.0,19279.0,,419.0,3339.0,7414.0,5816.0,5730.0,5122.0,2546.0,1529.0,1786.0,213.0,,2229.0,12868.0,2777.0,49.0,1961.0,336.0,13694.0,171.0,863.0,56.0,1.0,4.0,11.0,30413.0,1480.0,147.0,7585.0,5466.0,1935.0,13185.0,,33914.0,,,
2006,106010776,Alameda,747 52ND STREET,OAKLAND,94609,General Acute Care,Non-Profit Corporation (incl. Church-related),Level I - Pediatric,Basic,,NO,170,,23085.0,20863.0,,25127.0,10600.0,234.0,90.0,53.0,35.0,9.0,5.0,1.0,7794.0,,1452.0,17343.0,13804.0,22.0,6787.0,199.0,4341.0,283.0,416.0,9.0,,,,43137.0,,,29621.0,18.0,2052.0,8969.0,,43948.0,,,
2006,106010805,Alameda,20103 LAKE CHABOT ROAD,CASTRO VALLEY,94546,General Acute Care,Non-Profit Corporation (incl. Church-related),Level II,Basic,,NO,155,,10806.0,12699.0,,2022.0,2467.0,4140.0,3767.0,3792.0,2863.0,1289.0,1168.0,1474.0,523.0,,1446.0,4064.0,3636.0,89.0,673.0,50.0,13547.0,894.0,238.0,106.0,1.0,1.0,,22014.0,107.0,,4759.0,4251.0,778.0,9383.0,,23505.0,,,
2006,106010844,Alameda,2001 DWIGHT WAY,BERKELEY,94704,General Acute Care,Non-Profit Corporation (incl. Church-related),,0,,NO,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,106010846,Alameda,1411 EAST 31ST STREET,OAKLAND,94602,General Acute Care,City and/or County,Level II,Basic,,YES,236,,19921.0,15729.0,,254.0,1948.0,8139.0,6899.0,8247.0,6882.0,2294.0,550.0,363.0,74.0,,2034.0,16454.0,8375.0,95.0,3478.0,86.0,5128.0,930.0,3466.0,176.0,,2.0,,31011.0,,43.0,7695.0,2058.0,17860.0,1703.0,,35650.0,,,
2006,106010856,Alameda,280 W. MACARTHUR BOULEVARD,OAKLAND,94611-5693,General Acute Care,Non-Profit Corporation (incl. Church-related),,Basic,,NO,346,,16430.0,20003.0,12.0,2841.0,3531.0,5557.0,5345.0,5507.0,5443.0,3132.0,2298.0,2258.0,533.0,,1639.0,10487.0,2860.0,10.0,674.0,14734.0,6041.0,551.0,410.0,21.0,,,,34896.0,,108.0,1276.0,4803.0,3305.0,23487.0,,36445.0,,,
2006,106010858,Alameda,27400 HESPERIAN BOULEVARD,HAYWARD,94545,General Acute Care,Non-Profit Corporation (incl. Church-related),,Basic,,NO,210,,13674.0,17862.0,2.0,2676.0,2563.0,4357.0,4363.0,4790.0,4127.0,2648.0,2598.0,2686.0,730.0,,4095.0,4322.0,7224.0,151.0,1932.0,5209.0,8605.0,345.0,403.0,39.0,8.0,40.0,32.0,29752.0,276.0,206.0,1755.0,6266.0,364.0,20706.0,,31538.0,,,
2006,106010937,Alameda,350 HAWTHORNE AVENUE,OAKLAND,94609,General Acute Care,Non-Profit Corporation (incl. Church-related),,Basic,,NO,337,,12545.0,18020.0,,208.0,1610.0,5924.0,5208.0,6093.0,5043.0,2534.0,1797.0,2110.0,38.0,,1958.0,13835.0,8832.0,27.0,1186.0,253.0,4474.0,301.0,760.0,90.0,,5.0,42.0,28020.0,365.0,578.0,10201.0,6396.0,1999.0,6526.0,,30565.0,,,
2006,106010967,Alameda,27200 CALAROGA AVENUE,HAYWARD,94545,General Acute Care,Non-Profit Corporation (incl. Church-related),,Basic,,NO,141,,13327.0,16664.0,1.0,4691.0,3387.0,6122.0,4784.0,4355.0,2476.0,1221.0,830.0,701.0,1425.0,,2562.0,5782.0,10607.0,126.0,4379.0,,6536.0,158.0,434.0,48.0,,1.0,,28184.0,,,13560.0,2973.0,1106.0,12353.0,,29992.0,,,
2006,106010983,Alameda,1111 E. STANLEY BOULEVARD,LIVERMORE,94550,General Acute Care,Non-Profit Corporation (incl. Church-related),,0,,NO,41,,10293.0,11185.0,1.0,3034.0,2577.0,3448.0,3479.0,3238.0,2052.0,1206.0,859.0,901.0,685.0,,1662.0,1245.0,3246.0,58.0,783.0,124.0,14361.0,498.0,172.0,51.0,,,2.0,20455.0,272.0,,2939.0,2410.0,1756.0,11303.0,,21479.0,,,
