,datayear,oshpd_id9,COUNTY,FAC_ADDRESS_ONE,FAC_CITY,FAC_ZIPCODE,TYPE_LIC,TYPE_CNTRL,TRAUMA_CTR,ED_LIC_LEVL_BEGIN,RURAL_HOSPITAL_FLAG,TEACH_HOSP,GAC_BED_LIC_SUBTOTL,MSSA_DESIGNATION,Sex_Male,Sex_Female,Sex_Unknown,Age_01_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Under_1,Age_Unknown,Asian_Pacific_Island,Black,Hispanic,Native_American_Eski,Other_Race,Unknown_Race,White,Acute_Care,Against_Medical_Advice,Died,Hospice_Care,Home_Health_Service,Residential_Care_Facility,Routine,Psychiatric_Care,SN_IC_Care,Medi_Cal,Medicare,Other_Payer,Private_Coverage,SelfPay,ED_Visit,All_Other,English,Spanish
0,2011,106010735,Alameda,2070 CLINTON,ALAMEDA,94501,General Acute Care,District,,Basic,,NO,100,,5457.0,7312.0,,759.0,1127.0,2418.0,1963.0,1904.0,1776.0,1203.0,654.0,891.0,74.0,,1212.0,2719.0,176.0,20.0,2923.0,331.0,5388.0,189.0,267.0,27.0,9.0,33.0,11.0,11769.0,166.0,195.0,1051.0,2554.0,2726.0,4100.0,,12769.0,521.0,11921.0,327.0
1,2011,106010739,Alameda,2450 ASHBY STREET,BERKELEY,94705,General Acute Care,Non-Profit Corporation (incl. Church-related),,Basic,,NO,347,,14610.0,20915.0,,574.0,2360.0,8554.0,5744.0,5120.0,5391.0,3723.0,1855.0,1967.0,237.0,,2406.0,12898.0,3348.0,67.0,2560.0,252.0,13994.0,196.0,302.0,31.0,,9.0,52.0,33639.0,1031.0,172.0,8302.0,5815.0,1498.0,13469.0,,35525.0,440.0,34072.0,1013.0
2,2011,106010776,Alameda,747 52ND STREET,OAKLAND,94609,General Acute Care,Non-Profit Corporation (incl. Church-related),Level I - Pediatric,Basic,,NO,190,,21576.0,19109.0,1.0,24679.0,9368.0,273.0,70.0,47.0,34.0,14.0,5.0,,6196.0,,2200.0,13041.0,15621.0,32.0,5948.0,172.0,3672.0,338.0,774.0,11.0,,,,39550.0,,,29221.0,23.0,1768.0,6686.0,,40686.0,1446.0,28459.0,10781.0
3,2011,106010805,Alameda,20103 LAKE CHABOT ROAD,CASTRO VALLEY,94546,General Acute Care,Non-Profit Corporation (incl. Church-related),Level II,Basic,,NO,155,,12278.0,16266.0,,2414.0,2633.0,5328.0,4304.0,4265.0,3891.0,2029.0,1249.0,1830.0,601.0,,1923.0,5893.0,5942.0,90.0,564.0,10.0,14122.0,1009.0,322.0,86.0,7.0,1.0,,26178.0,651.0,,7938.0,5539.0,680.0,8474.0,,28544.0,594.0,26558.0,1392.0
4,2011,106010844,Alameda,2001 DWIGHT WAY,BERKELEY,94704,General Acute Care,Non-Profit Corporation (incl. Church-related),,0,,NO,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2011,106010846,Alameda,1411 EAST 31ST STREET,OAKLAND,94602,General Acute Care,City and/or County,Level II,Basic,,YES,236,,38202.0,33672.0,,608.0,2947.0,16230.0,13630.0,15068.0,15544.0,6144.0,1109.0,470.0,124.0,,5390.0,30993.0,18994.0,242.0,5649.0,158.0,10448.0,1806.0,298.0,140.0,,1.0,,68379.0,,133.0,17622.0,4082.0,34789.0,1836.0,,71874.0,3495.0,56976.0,11403.0
6,2011,106010856,Alameda,280 W. MACARTHUR BOULEVARD,OAKLAND,94611,General Acute Care,Non-Profit Corporation (incl. Church-related),,Basic,,YES,341,,32935.0,42699.0,7.0,6981.0,6771.0,11741.0,10099.0,10326.0,10585.0,7609.0,4878.0,5429.0,1221.0,1.0,6880.0,32468.0,13380.0,234.0,1875.0,1332.0,19472.0,495.0,1008.0,69.0,37.0,52.0,9.0,72706.0,690.0,166.0,10450.0,13944.0,312.0,40670.0,,75641.0,1674.0,69282.0,4685.0
7,2011,106010858,Alameda,27400 HESPERIAN BOULEVARD,HAYWARD,94545,General Acute Care,Non-Profit Corporation (incl. Church-related),,Basic,,NO,213,,30419.0,36781.0,,8167.0,7795.0,8734.0,8138.0,8531.0,8195.0,5957.0,4823.0,5558.0,1301.0,1.0,13194.0,9770.0,17393.0,229.0,1582.0,2493.0,22539.0,453.0,559.0,81.0,80.0,140.0,115.0,64154.0,774.0,511.0,6323.0,13551.0,582.0,41905.0,,67200.0,1915.0,60612.0,4673.0
8,2011,106010937,Alameda,350 HAWTHORNE AVENUE,OAKLAND,94609,General Acute Care,Non-Profit Corporation (incl. Church-related),,Basic,,NO,337,,13900.0,20339.0,,254.0,1390.0,6439.0,5492.0,5853.0,6356.0,3803.0,2197.0,2415.0,40.0,,2884.0,20530.0,2341.0,38.0,1546.0,263.0,6637.0,280.0,314.0,69.0,,5.0,29.0,32251.0,753.0,313.0,11653.0,7281.0,1164.0,7325.0,,34239.0,1529.0,31903.0,807.0
9,2011,106010967,Alameda,27200 CALAROGA AVENUE,HAYWARD,94545,General Acute Care,Non-Profit Corporation (incl. Church-related),,Basic,,NO,195,,12687.0,17033.0,4.0,4234.0,3239.0,6114.0,4672.0,3870.0,3206.0,1730.0,973.0,759.0,927.0,,2498.0,6127.0,9032.0,43.0,5773.0,55.0,6196.0,265.0,1243.0,59.0,3.0,10.0,5.0,26943.0,556.0,198.0,14398.0,3757.0,1192.0,3292.0,,29724.0,1169.0,24469.0,4086.0
10,2011,106010987,Alameda,2000 MOWRY AVENUE,FREMONT,94538,General Acute Care,District,,Basic,,NO,359,,18966.0,23725.0,,6205.0,4341.0,6626.0,6142.0,5717.0,4864.0,2914.0,2155.0,2395.0,1330.0,2.0,4742.0,4923.0,8055.0,53.0,7900.0,88.0,16930.0,213.0,365.0,75.0,,90.0,,40524.0,625.0,522.0,16461.0,7315.0,2181.0,10332.0,,42691.0,1317.0,39788.0,1586.0
11,2011,106013619,Alameda,13855 EAST 14TH STREET,SAN LEANDRO,94578,General Acute Care,Non-Profit Corporation (incl. Church-related),,Basic,,NO,93,,9435.0,13532.0,,890.0,1713.0,4867.0,3688.0,3861.0,3827.0,1827.0,1002.0,1141.0,151.0,,1430.0,12211.0,3610.0,176.0,762.0,208.0,4570.0,211.0,773.0,61.0,7.0,18.0,,20889.0,718.0,199.0,3297.0,4840.0,8391.0,2492.0,,22967.0,280.0,21977.0,710.0
12,2011,106014050,Alameda,5555 WEST LAS POSITAS BLVD.,PLEASANTON,94588,General Acute Care,Non-Profit Corporation (incl. Church-related),,Basic,,NO,167,,11205.0,13010.0,,3198.0,2814.0,3938.0,3388.0,3586.0,2543.0,1807.0,1114.0,1246.0,581.0,,2499.0,1674.0,3898.0,69.0,1014.0,65.0,14996.0,433.0,185.0,52.0,,2.0,1.0,22949.0,585.0,8.0,4574.0,3558.0,1659.0,11092.0,,24215.0,578.0,22286.0,1351.0
13,2011,106034002,Amador,200 MISSION BLVD,JACKSON,95642,General Acute Care,Non-Profit Corporation (incl. Church-related),,Basic,,NO,52,,7181.0,8728.0,,1599.0,1637.0,2322.0,1929.0,2041.0,2223.0,1533.0,1117.0,1225.0,283.0,,81.0,92.0,585.0,91.0,23.0,4.0,15033.0,612.0,73.0,30.0,,,,14949.0,51.0,,5094.0,3518.0,724.0,4575.0,,15909.0,61.0,15663.0,185.0
14,2011,106040802,Butte,240 SPRUCE STREET,GRIDLEY,95948,General Acute Care,Non-Profit Corporation (incl. Church-related),Level IV,Standby,,NO,24,,3090.0,3641.0,,1012.0,797.0,933.0,801.0,811.0,706.0,517.0,494.0,515.0,145.0,,30.0,50.0,1602.0,54.0,127.0,1.0,4867.0,,,,,,,6727.0,,,2942.0,1806.0,190.0,1081.0,,6731.0,71.0,5517.0,1143.0
15,2011,106040875,Butte,5974 PENTZ ROAD,PARADISE,95969,General Acute Care,Non-Profit Corporation (incl. Church-related),,Basic,,NO,100,,7230.0,9590.0,3.0,1727.0,1531.0,2537.0,1879.0,2117.0,2266.0,1570.0,1234.0,1525.0,437.0,,71.0,102.0,438.0,,10.0,139.0,16063.0,269.0,254.0,31.0,34.0,9.0,3.0,15817.0,,56.0,6703.0,4817.0,385.0,3282.0,,16823.0,4.0,16794.0,25.0
16,2011,106040937,Butte,2767 OLIVE HIGHWAY,OROVILLE,95966,General Acute Care,Non-Profit Corporation (incl. Church-related),Level III,Basic,,NO,133,,11984.0,14340.0,,2784.0,2682.0,5083.0,3879.0,4123.0,3617.0,1733.0,942.0,855.0,626.0,,662.0,970.0,1758.0,684.0,324.0,4.0,21922.0,236.0,711.0,43.0,,4.0,14.0,24956.0,316.0,44.0,13901.0,4862.0,1042.0,3667.0,,26324.0,340.0,25553.0,431.0
17,2011,106040962,Butte,1531 ESPLANADE,CHICO,95926,General Acute Care,Non-Profit Corporation (incl. Church-related),Level II,Basic,,NO,208,,13997.0,15771.0,2.0,2845.0,3218.0,6498.0,3594.0,3719.0,3432.0,2259.0,1423.0,2034.0,748.0,,427.0,1044.0,4088.0,339.0,1300.0,86.0,22486.0,148.0,428.0,76.0,1.0,,1.0,27751.0,410.0,270.0,9100.0,6207.0,2763.0,8198.0,,29770.0,421.0,27862.0,1487.0
18,2011,106050932,Calaveras,768 MOUNTAIN RANCH ROAD,SAN ANDREAS,95249,General Acute Care,Non-Profit Corporation (incl. Church-related),,Basic,,NO,48,,3925.0,4297.0,,697.0,1118.0,1086.0,887.0,1034.0,1226.0,860.0,620.0,596.0,98.0,,60.0,96.0,577.0,21.0,31.0,61.0,7376.0,339.0,270.0,21.0,1.0,7.0,2.0,7493.0,38.0,23.0,2137.0,2066.0,774.0,2159.0,,8222.0,6.0,8115.0,101.0
