,datayear,oshpd_id9,COUNTY,FAC_ADDRESS_ONE,FAC_CITY,FAC_ZIPCODE,TYPE_LIC,TYPE_CNTRL,TRAUMA_CTR,ED_LIC_LEVL_BEGIN,RURAL_HOSPITAL_FLAG,TEACH_HOSP,GAC_BED_LIC_SUBTOTL,MSSA_DESIGNATION,Sex_Male,Sex_Female,Sex_Unknown,Age_01_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Under_1,Age_Unknown,Asian_Pacific_Island,Black,Hispanic,Native_American_Eski,Other_Race,Unknown_Race,White,Acute_Care,Against_Medical_Advice,Died,Hospice_Care,Home_Health_Service,Residential_Care_Facility,Routine,Psychiatric_Care,SN_IC_Care,Medi_Cal,Medicare,Other_Payer,Private_Coverage,SelfPay,ED_Visit,All_Other,English,Spanish
0,2008,106010735, Alameda,2070 CLINTON,ALAMEDA,94501,General Acute Care,District,,Basic,,NO,100,,6251.0,8184.0,,790.0,1299.0,2723.0,2292.0,2339.0,2076.0,1137.0,734.0,949.0,96.0,,1481.0,2853.0,147.0,9.0,3078.0,133.0,6734.0,297.0,312.0,42.0,,,,13451.0,,203.0,1252.0,2591.0,2758.0,5310.0,,14435.0,,,
1,2008,106010739, Alameda,2450 ASHBY STREET,BERKELEY,94705,General Acute Care,Non-Profit Corporation (incl. Church-related),,Basic,,NO,347,,14591.0,20957.0,,462.0,2428.0,7881.0,6127.0,5870.0,5779.0,3211.0,1722.0,1873.0,195.0,,2255.0,13857.0,2927.0,57.0,2405.0,242.0,13805.0,210.0,141.0,29.0,,4.0,3.0,33946.0,1052.0,131.0,8157.0,5855.0,2093.0,13979.0,,35548.0,,,
2,2008,106010776, Alameda,747 52ND STREET,OAKLAND,94609,General Acute Care,Non-Profit Corporation (incl. Church-related),Level I - Pediatric,Basic,,NO,190,,22816.0,20020.0,,25087.0,9678.0,247.0,87.0,50.0,31.0,11.0,1.0,1.0,7642.0,1.0,2171.0,15207.0,15110.0,17.0,5964.0,228.0,4139.0,329.0,564.0,11.0,,,,41871.0,,,29422.0,24.0,1937.0,8342.0,,42836.0,,,
3,2008,106010805, Alameda,20103 LAKE CHABOT ROAD,CASTRO VALLEY,94546,General Acute Care,Non-Profit Corporation (incl. Church-related),Level II,Basic,,NO,155,,11090.0,13549.0,,1932.0,2479.0,4475.0,3738.0,4005.0,3058.0,1537.0,1170.0,1758.0,486.0,1.0,1674.0,4680.0,3945.0,83.0,676.0,48.0,13533.0,771.0,285.0,95.0,2.0,2.0,,22937.0,484.0,,5247.0,4783.0,721.0,9097.0,,24639.0,,,
4,2008,106010846, Alameda,1411 EAST 31ST STREET,OAKLAND,94602,General Acute Care,City and/or County,Level II,Basic,,YES,236,,34700.0,28207.0,,498.0,3238.0,13789.0,11559.0,14463.0,13007.0,4668.0,1051.0,492.0,140.0,2.0,4322.0,28759.0,16378.0,191.0,3970.0,103.0,9184.0,1905.0,367.0,152.0,,2.0,1.0,60097.0,,228.0,12881.0,3658.0,17738.0,3119.0,,62907.0,,,
5,2008,106010856, Alameda,280 W. MACARTHUR BOULEVARD,OAKLAND, 94611-5693,General Acute Care,Non-Profit Corporation (incl. Church-related),,Basic,,NO,341,,14719.0,18719.0,2.0,2640.0,3176.0,5305.0,4972.0,4581.0,4824.0,3168.0,2071.0,2246.0,456.0,1.0,2931.0,13092.0,4761.0,45.0,1053.0,1668.0,9890.0,55.0,552.0,35.0,11.0,17.0,7.0,32039.0,272.0,47.0,2243.0,5354.0,293.0,22014.0,,33440.0,,,
6,2008,106010858, Alameda,27400 HESPERIAN BOULEVARD,HAYWARD,94545,General Acute Care,Non-Profit Corporation (incl. Church-related),,Basic,,NO,210,,11378.0,15744.0,4.0,2119.0,2275.0,3788.0,3787.0,3980.0,3718.0,2314.0,2083.0,2355.0,706.0,1.0,3831.0,4429.0,7227.0,74.0,1219.0,2457.0,7889.0,181.0,416.0,39.0,11.0,25.0,76.0,25315.0,271.0,229.0,1770.0,5673.0,139.0,17593.0,,27126.0,,,
7,2008,106010937, Alameda,350 HAWTHORNE AVENUE,OAKLAND,94609,General Acute Care,Non-Profit Corporation (incl. Church-related),,Basic,,NO,337,,12511.0,18590.0,,198.0,1430.0,5724.0,5188.0,5755.0,5793.0,2969.0,1808.0,2190.0,44.0,2.0,2666.0,18819.0,1860.0,46.0,1515.0,287.0,5908.0,412.0,394.0,65.0,,6.0,18.0,29430.0,568.0,187.0,10707.0,6424.0,1624.0,6806.0,,31101.0,,,
8,2008,106010967, Alameda,27200 CALAROGA AVENUE,HAYWARD,94545,General Acute Care,Non-Profit Corporation (incl. Church-related),,Basic,,NO,141,,13579.0,17546.0,,4859.0,3439.0,6268.0,5000.0,4307.0,2893.0,1606.0,861.0,735.0,1157.0,,2252.0,6762.0,10697.0,51.0,4729.0,,6634.0,227.0,1174.0,52.0,,,,28938.0,405.0,207.0,14522.0,3165.0,944.0,7383.0,,31125.0,,,
9,2008,106010987, Alameda,2000 MOWRY AVENUE,FREMONT,94538,General Acute Care,District,,Basic,,NO,337,,17649.0,21021.0,,5368.0,3969.0,6165.0,5516.0,5596.0,4271.0,2388.0,1964.0,2032.0,1401.0,,2188.0,1323.0,3093.0,17.0,2018.0,143.0,29888.0,284.0,220.0,68.0,,17.0,,37391.0,438.0,243.0,12011.0,6124.0,1996.0,11038.0,,38670.0,,,
10,2008,106013619, Alameda,13855 EAST 14TH STREET,SAN LEANDRO,94578,General Acute Care,Non-Profit Corporation (incl. Church-related),,Basic,,NO,93,,8939.0,12907.0,2.0,892.0,1807.0,4281.0,3533.0,4113.0,3344.0,1523.0,949.0,1272.0,133.0,1.0,1433.0,10857.0,3138.0,235.0,889.0,259.0,5037.0,183.0,419.0,68.0,2.0,17.0,,20361.0,476.0,232.0,3483.0,4543.0,5384.0,3258.0,,21848.0,,,
11,2008,106014050, Alameda,5555 WEST LAS POSITAS BLVD.,PLEASANTON,94588,General Acute Care,Non-Profit Corporation (incl. Church-related),,Basic,,NO,137,,11192.0,12571.0,,3213.0,2702.0,4001.0,3598.0,3646.0,2418.0,1433.0,970.0,1017.0,765.0,,2149.0,1591.0,3630.0,34.0,960.0,69.0,15330.0,439.0,169.0,47.0,1.0,,2.0,22757.0,327.0,5.0,3892.0,2905.0,1650.0,11894.0,,23763.0,,,
